Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
30-seconds-of-code,Short code snippets for all your development needs,https://github.com/30-seconds/30-seconds-of-code,2017-11-29T17:35:03Z,2023-09-21T11:19:38Z,https://30secondsofcode.org/,592926,115631,11927,34,115631,JavaScript,CC-BY-4.0,"['awesome-list', 'css', 'education', 'es6-javascript', 'git', 'html', 'javascript', 'learn-to-code', 'learning-resources', 'nodejs', 'programming', 'python', 'reactjs', 'snippets', 'snippets-collection']",True,True,True,True,False,True,False,False,False,master
go,The Go programming language,https://github.com/golang/go,2014-08-19T04:33:40Z,2023-09-21T11:26:50Z,https://go.dev,326744,114535,17164,8651,114535,Go,BSD-3-Clause,"['go', 'golang', 'language', 'programming-language']",True,True,True,True,False,True,False,False,False,master
transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,2023-09-21T11:26:55Z,https://huggingface.co/transformers,164291,112153,22276,811,112153,Python,Apache-2.0,"['bert', 'deep-learning', 'flax', 'hacktoberfest', 'jax', 'language-model', 'language-models', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'nlp-library', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'seq2seq', 'speech-recognition', 'tensorflow', 'transformer']",True,True,True,True,False,False,False,False,False,main
react-native,A framework for building native applications using React,https://github.com/facebook/react-native,2015-01-09T18:10:16Z,2023-09-21T11:26:39Z,https://reactnative.dev,856634,112057,23820,1649,112057,Java,MIT,"['android', 'app-framework', 'cross-platform', 'ios', 'mobile', 'mobile-development', 'react', 'react-native']",True,True,True,True,True,False,False,False,False,main
next.js,The React Framework,https://github.com/vercel/next.js,2016-10-05T23:32:51Z,2023-09-21T11:20:48Z,https://nextjs.org,1863492,111891,24753,2444,111891,JavaScript,MIT,"['blog', 'browser', 'compiler', 'components', 'hybrid', 'nextjs', 'node', 'react', 'server-rendering', 'ssg', 'static', 'static-site-generator', 'universal', 'vercel']",True,False,True,False,False,True,False,False,False,canary
electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",https://github.com/electron/electron,2013-04-12T01:47:36Z,2023-09-21T10:44:46Z,https://electronjs.org,141341,109151,15077,935,109151,C++,MIT,"['c-plus-plus', 'chrome', 'css', 'electron', 'html', 'javascript', 'nodejs', 'v8', 'works-with-codespaces']",True,True,True,False,False,False,False,False,False,main
awesome-go,"A curated list of awesome Go frameworks, libraries and software",https://github.com/avelino/awesome-go,2014-07-06T13:42:15Z,2023-09-21T11:34:57Z,https://awesome-go.com,10181,108489,11270,171,108489,Go,MIT,"['awesome', 'awesome-list', 'go', 'golang', 'golang-library', 'hacktoberfest']",True,False,True,False,False,True,False,False,False,main
the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2023-09-21T11:29:43Z,,3479,107762,7675,49,107762,,MIT,"['awesome', 'awesome-list', 'bsd', 'cheatsheets', 'devops', 'guidelines', 'hacking', 'hacks', 'howtos', 'linux', 'lists', 'manuals', 'one-liners', 'pentesters', 'resources', 'search-engines', 'security', 'security-researchers', 'sysops']",False,False,True,False,False,False,False,False,False,master
d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",https://github.com/d3/d3,2010-09-27T17:22:42Z,2023-09-21T11:20:23Z,https://d3js.org,43043,106290,23350,7,106290,Shell,ISC,"['chart', 'charts', 'd3', 'data-visualization', 'svg', 'visualization']",True,False,True,False,True,True,False,False,False,main
free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿,https://github.com/justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,2023-09-21T09:47:13Z,http://weibo.com/justjavac,1236,105059,27861,30,105059,,GPL-3.0,"['android', 'angular', 'books', 'free', 'ios', 'javascript', 'kotlin', 'pdf', 'programming', 'python', 'react', 'react-native', 'swift', 'vue']",False,False,True,False,False,False,False,False,False,main
stable-diffusion-webui,Stable Diffusion web UI,https://github.com/AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2023-09-21T11:43:33Z,,32988,102888,20522,1489,102888,Python,AGPL-3.0,"['ai', 'ai-art', 'deep-learning', 'diffusion', 'gradio', 'image-generation', 'image2image', 'img2img', 'pytorch', 'stable-diffusion', 'text2image', 'torch', 'txt2img', 'unstable', 'upscaling', 'web']",True,True,True,True,False,True,False,False,False,master
kubernetes,Production-Grade Container Scheduling and Management,https://github.com/kubernetes/kubernetes,2014-06-06T22:56:04Z,2023-09-21T11:10:07Z,https://kubernetes.io,1201191,101803,37826,2797,101803,Go,Apache-2.0,"['cncf', 'containers', 'go', 'kubernetes']",True,True,True,False,False,False,False,False,False,master
axios,Promise based HTTP client for the browser and node.js,https://github.com/axios/axios,2014-08-18T22:30:27Z,2023-09-21T09:08:11Z,https://axios-http.com,9944,101732,10497,460,101732,JavaScript,MIT,"['hacktoberfest', 'http-client', 'javascript', 'nodejs', 'promise']",True,True,True,False,False,True,False,False,False,v1.x
create-react-app,Set up a modern web app by running one command.,https://github.com/facebook/create-react-app,2016-07-17T14:55:11Z,2023-09-21T08:05:24Z,https://create-react-app.dev,25116,100777,26703,2108,100777,JavaScript,MIT,"['build-tools', 'react', 'zero-configuration']",True,True,True,False,True,True,False,False,False,main
node,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:,https://github.com/nodejs/node,2014-11-26T19:57:11Z,2023-09-21T11:32:18Z,https://nodejs.org,1110607,97883,27042,1884,97883,JavaScript,NOASSERTION,"['javascript', 'js', 'linux', 'macos', 'mit', 'node', 'nodejs', 'runtime', 'windows']",True,True,True,False,False,True,False,False,False,main
PowerToys,Windows system utilities to maximize productivity,https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,2023-09-21T11:35:26Z,,332684,95486,5612,5196,95486,C#,MIT,"['color-picker', 'desktop', 'fancyzones', 'keyboard-manager', 'microsoft-powertoys', 'powerrename', 'powertoys', 'windows']",True,True,True,True,False,False,False,False,False,main
tech-interview-handbook,💯 Curated coding interview preparation materials for busy software engineers,https://github.com/yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,2023-09-21T11:21:13Z,https://www.techinterviewhandbook.org,32062,94912,12259,23,94912,TypeScript,MIT,"['algorithm', 'algorithm-interview', 'algorithm-interview-questions', 'algorithms', 'behavioral-interviews', 'coding-interviews', 'interview-practice', 'interview-preparation', 'interview-questions', 'system-design']",True,False,True,True,False,True,False,False,False,main
three.js,JavaScript 3D Library.,https://github.com/mrdoob/three.js,2010-03-23T18:58:01Z,2023-09-21T11:42:41Z,https://threejs.org/,1300109,94580,35017,540,94580,JavaScript,MIT,"['3d', 'augmented-reality', 'canvas', 'html5', 'javascript', 'svg', 'virtual-reality', 'webaudio', 'webgl', 'webgl2', 'webgpu', 'webxr']",True,False,False,True,True,False,False,False,False,dev
TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,https://github.com/microsoft/TypeScript,2014-06-17T15:28:39Z,2023-09-21T11:21:17Z,https://www.typescriptlang.org,2274848,94181,12193,5960,94181,TypeScript,Apache-2.0,"['javascript', 'language', 'typechecker', 'typescript']",True,True,True,True,False,False,False,False,False,main
nodebestpractices,:white_check_mark:  The Node.js best practices list (July 2023),https://github.com/goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,2023-09-21T10:58:53Z,https://twitter.com/nodepractices/,70365,93002,9612,65,93002,Dockerfile,CC-BY-SA-4.0,"['best-practices', 'es6', 'eslint', 'express', 'expressjs', 'javascript', 'jest', 'microservices', 'mocha', 'node-js', 'nodejs', 'nodejs-development', 'npm', 'rest', 'style-guide', 'styleguide', 'testing', 'types']",True,True,True,False,False,False,False,False,False,master
scrcpy,Display and control your Android device,https://github.com/Genymobile/scrcpy,2017-11-21T18:00:27Z,2023-09-21T10:55:11Z,,5630,91258,9256,1519,91258,C,Apache-2.0,"['android', 'c', 'ffmpeg', 'libav', 'mirroring', 'recording', 'screen', 'sdl2']",True,True,True,True,False,False,False,False,False,master
deno,A modern runtime for JavaScript and TypeScript.,https://github.com/denoland/deno,2018-05-15T01:34:26Z,2023-09-21T11:41:43Z,https://deno.land,108234,90877,5035,1550,90877,Rust,MIT,"['deno', 'javascript', 'rust', 'typescript']",True,False,True,True,False,True,False,False,False,main
terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",https://github.com/microsoft/terminal,2017-08-11T18:38:22Z,2023-09-21T11:38:31Z,,137408,90394,8025,1459,90394,C++,MIT,"['cmd', 'command-line', 'console', 'contributions-welcome', 'good-first-issue', 'terminal', 'windows', 'windows-console', 'windows-terminal', 'wsl']",True,True,True,True,False,True,False,False,False,main
angular,The modern web developer’s platform,https://github.com/angular/angular,2014-09-18T16:12:01Z,2023-09-21T10:11:40Z,https://angular.io,473769,90337,24264,1524,90337,TypeScript,MIT,"['angular', 'javascript', 'pwa', 'typescript', 'web', 'web-framework', 'web-performance']",True,True,True,False,False,True,False,False,False,main
awesome-chatgpt-prompts,This repo includes ChatGPT prompt curation to use ChatGPT better.,https://github.com/f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,2023-09-21T11:37:43Z,https://prompts.chat,517,89051,12036,291,89051,HTML,CC0-1.0,"['bots', 'chatbot', 'chatgpt', 'chatgpt-api', 'language']",False,False,True,False,True,False,False,False,False,main
material-ui,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design.",https://github.com/mui/material-ui,2014-08-18T19:11:54Z,2023-09-21T11:17:56Z,https://mui.com/core/,439902,88845,30222,1630,88845,TypeScript,MIT,"['design-systems', 'hacktoberfest', 'javascript', 'material-design', 'react', 'react-components', 'typescript']",True,True,True,False,False,True,False,False,False,master
ant-design,An enterprise-class UI design language and React UI library,https://github.com/ant-design/ant-design,2015-04-24T15:37:24Z,2023-09-21T11:17:52Z,https://ant.design,169599,87612,41795,1015,87612,TypeScript,MIT,"['ant-design', 'antd', 'design-systems', 'react', 'typescript', 'ui-kit', 'ui-library']",True,True,True,True,True,True,False,False,False,master
clean-code-javascript,:bathtub: Clean Code concepts adapted for JavaScript,https://github.com/ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,2023-09-21T11:14:04Z,,520,85801,11649,97,85801,JavaScript,MIT,"['best-practices', 'clean-architecture', 'clean-code', 'composition', 'inheritance', 'javascript', 'principles']",True,True,True,True,False,False,False,False,False,master
rust,Empowering everyone to build reliable and efficient software.,https://github.com/rust-lang/rust,2010-06-16T20:39:03Z,2023-09-21T11:17:30Z,https://www.rust-lang.org,970147,85479,11303,9589,85479,Rust,NOASSERTION,"['compiler', 'hacktoberfest', 'language', 'rust']",True,True,True,False,False,False,False,False,False,master
puppeteer,Node.js API for Chrome ,https://github.com/puppeteer/puppeteer,2017-05-09T22:16:13Z,2023-09-21T09:16:25Z,https://pptr.dev,591703,84598,9091,278,84598,TypeScript,Apache-2.0,"['automation', 'chrome', 'chromium', 'developer-tools', 'headless-chrome', 'node-module', 'testing', 'web']",True,False,True,False,True,False,False,False,False,main
vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,2023-09-21T10:47:30Z,,15436,84040,30201,1310,84040,Vue,MIT,"['admin', 'admin-dashboard', 'admin-template', 'axios', 'dashboard', 'desktop', 'element', 'element-ui', 'i18n', 'management-system', 'mock', 'tinymce', 'vue', 'vue-admin', 'vue-cli', 'vuex', 'webpack', 'webpack4', 'xlsx']",True,True,True,True,True,True,False,False,False,master
java-design-patterns,Design patterns implemented in Java,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2023-09-21T09:40:04Z,https://java-design-patterns.com,30897,83772,25514,191,83772,Java,NOASSERTION,"['awesome-list', 'design-patterns', 'hacktoberfest', 'java', 'principles', 'snippets', 'snippets-collection', 'snippets-library']",True,False,True,True,False,False,False,False,False,master
storybook,"Storybook is a frontend workshop for building UI components and pages in isolation. Made for UI development, testing, and documentation. ",https://github.com/storybookjs/storybook,2016-03-18T04:23:44Z,2023-09-21T11:16:20Z,https://storybook.js.org,723883,80398,8721,1813,80398,TypeScript,MIT,"['angular', 'components', 'design-systems', 'documentation', 'ember', 'html', 'javascript', 'react', 'react-native', 'storybook', 'styleguide', 'svelte', 'testing', 'typescript', 'ui', 'ui-components', 'vue', 'web-components', 'webpack']",True,True,True,False,False,True,False,False,False,next
thefuck,Magnificent app which corrects your previous console command.,https://github.com/nvbn/thefuck,2015-04-08T15:08:04Z,2023-09-21T11:14:44Z,,4043,79397,3435,302,79397,Python,MIT,"['python', 'shell']",True,True,True,True,False,False,False,False,False,master
animate.css,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,https://github.com/animate-css/animate.css,2011-10-12T10:07:38Z,2023-09-21T11:16:20Z,https://animate.style/,1778,78600,16528,54,78600,CSS,NOASSERTION,"['animation', 'css', 'css-animations', 'stylesheets']",True,True,True,False,True,True,False,False,False,main
Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",https://github.com/microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2023-09-21T11:25:14Z,https://microsoft.github.io/Web-Dev-For-Beginners/,86621,76757,11896,75,76757,JavaScript,MIT,"['css', 'curriculum', 'education', 'html', 'javascript', 'learning', 'tutorials']",True,False,True,True,True,True,False,False,True,main
papers-we-love,Papers from the computer science community to read and discuss.,https://github.com/papers-we-love/papers-we-love,2013-12-15T14:31:41Z,2023-09-21T11:14:20Z,http://paperswelove.org/,230570,76507,5655,13,76507,Shell,,"['awesome', 'computer-science', 'meetup', 'papers', 'programming', 'read-papers', 'theory']",True,False,True,False,False,False,False,False,False,main
realworld,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more",https://github.com/gothinkster/realworld,2016-02-26T20:49:53Z,2023-09-21T11:14:11Z,https://www.realworld.how/,35487,76360,7062,71,76360,TypeScript,MIT,[],True,True,True,False,False,True,False,False,False,main
models,Models and examples built with TensorFlow,https://github.com/tensorflow/models,2016-02-05T01:15:20Z,2023-09-21T11:11:25Z,,613721,76105,46226,1205,76105,Jupyter Notebook,NOASSERTION,[],True,True,True,True,False,False,False,False,False,master
HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",https://github.com/521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,2023-09-21T11:38:58Z,https://hellogithub.com,4296,75465,9304,124,75465,Python,,"['awesome', 'github', 'hellogithub', 'python']",True,True,True,False,False,True,False,False,False,master
